EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_MSE	DEV_SPEARMAN	DEV_PEARSON
1	11:08:18	4	0.0001	2662.4715065272467	0.4204331338405609	0.8407571129093359	0.8301056349154453	0.8214630656994015
2	11:14:37	4	0.0000	1414.5279016363202	0.28213968873023987	0.5640090372215933	0.8642009430507981	0.8642766609641903
3	11:20:55	4	0.0000	879.521192161079	0.2572092115879059	0.5135603531609191	0.8708490296305483	0.8714712135477549
4	11:27:12	4	0.0000	560.3002429922562	0.29311931133270264	0.5860141640756776	0.8750490217894322	0.876758212774593
5	11:33:29	4	0.0000	370.75524231830514	0.21575480699539185	0.43109248255010685	0.8897600324312517	0.8943966175330109
6	11:39:44	4	0.0000	237.4981220423042	0.1922321319580078	0.38441942986734995	0.9027921161059813	0.9037194912475459
7	11:45:56	4	0.0000	139.3175421087351	0.20826376974582672	0.4162735915444608	0.900636836966309	0.8997766315561317
8	11:52:05	4	0.0000	68.1555415157699	0.20392194390296936	0.40784023982951345	0.8985994671389841	0.8996904115552904
9	11:58:13	4	0.0000	34.367330487274785	0.19869039952754974	0.39737819444957734	0.8917051678986686	0.9010332992587224
10	12:04:22	4	0.0000	17.587019221835476	0.20682352781295776	0.41364693006145065	0.8926698744141217	0.8997423041461781